x,y,z
79,10,43
28,30,50
10,56,76
78,17,13
80,67,58
87,62,93
41,14,6
29,17,36
66,3,16
60,88,10
39,45,9
8,15,43
100,18,86
17,31,30
53,28,11
67,61,91
33,55,34
17,1,44
16,1,19
97,78,65
24,61,33
50,80,11
87,66,91
39,58,26
57,51,71
82,48,20
64,83,41
16,43,13
4,7,35
42,15,80
38,12,78
80,77,7
6,91,16
7,60,88
25,74,55
69,74,8
2,37,33
86,55,72
7,37,84
44,23,98
46,17,14
43,100,51
75,96,12
86,25,18
33,35,49
61,60,33
93,4,6
88,67,42
1,42,32
100,63,33
36,35,18
47,55,31
90,22,76
64,26,33
15,44,5
32,11,33
11,76,1
53,45,64
62,89,69
61,16,41
18,71,4
60,98,8
86,24,52
27,18,46
45,45,10
54,94,94
85,17,56
16,98,80
17,86,76
72,4,99
30,93,28
21,94,29
83,24,16
66,24,25
69,46,50
27,85,47
64,6,97
100,68,21
49,44,44
53,73,47
47,45,92
48,80,100
92,98,85
43,66,42
87,88,88
70,39,100
47,34,33
88,91,57
19,68,17
83,15,66
92,5,49
92,100,87
70,61,10
33,20,97
43,4,47
79,92,73
87,80,27
66,22,25
86,26,69
